Time,Time,1 minute,0.000694444,1 hour,0.041666667,,,,,,,,,,
41559.17569,10/12/2013 4:13,,,,,,,,,,,,,,
41559.17569,10/12/2013 4:13,,,,,,,,,,,,,,
41559.17569,10/12/2013 4:13,,,,,,,,,,,,,,
41559.17639,10/12/2013 4:14,,,,,,,,,,,,,,
41559.17639,10/12/2013 4:14,,,,,,,,,,,,,,
41559.17639,10/12/2013 4:14,,,,,,,,,,,,,,
41559.17639,10/12/2013 4:14,,,,,,,,,,,,,,
41559.17708,10/12/2013 4:15,,,,,,,,,,,,,,
41559.17708,10/12/2013 4:15,,,,,,,,,,,,,,
41559.17778,10/12/2013 4:16,,,,,,,,,,,,,,
41559.17778,10/12/2013 4:16,,,,,,,,,,,,,,
41559.17778,10/12/2013 4:16,,,,,,,,,,,,,,
41559.17847,10/12/2013 4:17,,,,,,,,,,,,,,
41559.17847,10/12/2013 4:17,,,,,,,,,,,,,,
41559.17847,10/12/2013 4:17,,,,,,,,,,,,,,
41559.17917,10/12/2013 4:18,,,,,,,,,,,,,,
41559.17917,10/12/2013 4:18,,,,,,,,,,,,,,
41559.17917,10/12/2013 4:18,,,,,,,,,,,,,,
41559.17986,10/12/2013 4:19,,,,,,,,,,,,,,
41559.17986,10/12/2013 4:19,,,,,,,,,,,,,,
41559.18056,10/12/2013 4:20,,,,,,,,,,,,,,
41559.18056,10/12/2013 4:20,,,,,,,,,,,,,,
41559.18056,10/12/2013 4:20,,,,,,,,,,,,,,
41559.18056,10/12/2013 4:20,,,,,,,,,,,,,,
41559.18125,10/12/2013 4:21,,,,,,,,,,,,,,
41559.18125,10/12/2013 4:21,,,,,,,,,,,,,,
41559.18125,10/12/2013 4:21,,,,,,,,,,,,,,
41559.18194,10/12/2013 4:22,,,,,,,,,,,,,,
41559.18194,10/12/2013 4:22,,,,,,,,,,,,,,
41559.18194,10/12/2013 4:22,,,,,,,,,,,,,,
41559.18264,10/12/2013 4:23,,,,,,,,,,,,,,
41559.18333,10/12/2013 4:24,,,,,,,,,,,,,,
41559.18333,10/12/2013 4:24,,,,,,,,,,,,,,
41559.18403,10/12/2013 4:25,,,,,,,,,,,,,,
41559.18403,10/12/2013 4:25,,,,,,,,,,,,,,
41559.18403,10/12/2013 4:25,,,,,,,,,,,,,,
41559.18403,10/12/2013 4:25,,,,,,,,,,,,,,
41559.18403,10/12/2013 4:25,,,,,,,,,,,,,,
41559.18472,10/12/2013 4:26,,,,,,,,,,,,,,
41559.18472,10/12/2013 4:26,,,,,,,,,,,,,,
41559.18472,10/12/2013 4:26,,,,,,,,,,,,,,
41559.18611,10/12/2013 4:28,,,,,,,,,,,,,,
41559.18611,10/12/2013 4:28,,,,,,,,,,,,,,
41559.18611,10/12/2013 4:28,,,,,,,,,,,,,,
41559.18681,10/12/2013 4:29,,,,,,,,,,,,,,
41559.18681,10/12/2013 4:29,,,,,,,,,,,,,,
41559.18681,10/12/2013 4:29,,,,,,,,,,,,,,
41559.1875,10/12/2013 4:30,,,,,,,,,,,,,,
41559.18819,10/12/2013 4:31,,,,,,,,,,,,,,
41559.18819,10/12/2013 4:31,,,,,,,,,,,,,,
41559.18819,10/12/2013 4:31,,,,,,,,,,,,,,
41559.18889,10/12/2013 4:32,,,,,,,,,,,,,,
41559.18889,10/12/2013 4:32,,,,,,,,,,,,,,
41559.18889,10/12/2013 4:32,,,,,,,,,,,,,,
41559.18889,10/12/2013 4:32,,,,,,,,,,,,,,
41559.18958,10/12/2013 4:33,,,,,,,,,,,,,,
41559.18958,10/12/2013 4:33,,,,,,,,,,,,,,
41559.18958,10/12/2013 4:33,,,,,,,,,,,,,,
41559.18958,10/12/2013 4:33,,,,,,,,,,,,,,
41559.18958,10/12/2013 4:33,,,,,,,,,,,,,,
41559.19028,10/12/2013 4:34,,,,,,,,,,,,,,
41559.19028,10/12/2013 4:34,,,,,,,,,,,,,,
41559.19028,10/12/2013 4:34,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19097,10/12/2013 4:35,,,,,,,,,,,,,,
41559.19167,10/12/2013 4:36,,,,,,,,,,,,,,
41559.19167,10/12/2013 4:36,,,,,,,,,,,,,,
41559.19167,10/12/2013 4:36,,,,,,,,,,,,,,
41559.19236,10/12/2013 4:37,,,,,,,,,,,,,,
41559.19236,10/12/2013 4:37,,,,,,,,,,,,,,
41559.19236,10/12/2013 4:37,,,,,,,,,,,,,,
41559.19236,10/12/2013 4:37,,,,,,,,,,,,,,
41559.19306,10/12/2013 4:38,,,,,,,,,,,,,,
41559.19375,10/12/2013 4:39,,,,,,,,,,,,,,
41559.19444,10/12/2013 4:40,,,,,,,,,,,,,,
41559.19444,10/12/2013 4:40,,,,,,,,,,,,,,
41559.19444,10/12/2013 4:40,,,,,,,,,,,,,,
41559.19444,10/12/2013 4:40,,,,,,,,,,,,,,
41559.19444,10/12/2013 4:40,,,,,,,,,,,,,,
41559.19514,10/12/2013 4:41,,,,,,,,,,,,,,
41559.19514,10/12/2013 4:41,,,,,,,,,,,,,,
41559.19653,10/12/2013 4:43,,,,,,,,,,,,,,
41559.19653,10/12/2013 4:43,,,,,,,,,,,,,,
41559.19653,10/12/2013 4:43,,,,,,,,,,,,,,
41559.19722,10/12/2013 4:44,,,,,,,,,,,,,,
41559.19722,10/12/2013 4:44,,,,,,,,,,,,,,
41559.19722,10/12/2013 4:44,,,,,,,,,,,,,,
41559.19722,10/12/2013 4:44,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19792,10/12/2013 4:45,,,,,,,,,,,,,,
41559.19861,10/12/2013 4:46,,,,,,,,,,,,,,
41559.19861,10/12/2013 4:46,,,,,,,,,,,,,,
41559.19861,10/12/2013 4:46,,,,,,,,,,,,,,
41559.19931,10/12/2013 4:47,,,,,,,,,,,,,,
41559.19931,10/12/2013 4:47,,,,,,,,,,,,,,
41559.19931,10/12/2013 4:47,,,,,,,,,,,,,,
41559.2,10/12/2013 4:48,,,,,,,,,,,,,,
41559.2,10/12/2013 4:48,,,,,,,,,,,,,,
41559.2,10/12/2013 4:48,,,,,,,,,,,,,,
41559.2,10/12/2013 4:48,,,,,,,,,,,,,,
41559.20069,10/12/2013 4:49,,,,,,,,,,,,,,
41559.20069,10/12/2013 4:49,,,,,,,,,,,,,,
41559.20069,10/12/2013 4:49,,,,,,,,,,,,,,
